2018/11/2,17:0:20
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1856,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
91959,219,861,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,67,17404,11,11,0,10
92502,221,862,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,68,17438,14,14,0,14
93045,219,859,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,68,17438,9,9,0,17
93586,219,856,10,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,86,0,182,67,17334,14,14,0,15
94131,215,856,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,68,17508,7,7,0,8
94675,222,857,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,68,17497,16,16,0,17
95219,219,858,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,68,17437,12,12,0,11
95762,220,854,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250,67,17402,11,11,0,12
96305,220,857,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,68,17439,12,12,0,9
96880,215,856,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,72,18498,15,15,0,7
97421,220,853,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,67,17358,8,8,0,11
97963,220,851,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,67,17365,9,9,0,9
98518,218,858,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,69,17819,7,7,0,13
99058,219,849,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,67,17358,9,9,0,7
99598,221,845,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,67,17334,12,12,0,13
100142,218,852,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,68,17440,11,11,0,4
100684,217,850,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,67,17405,4,4,0,9
101225,219,836,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,194,0,218,67,17370,4,4,0,1
101769,219,850,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,68,17440,5,5,0,1
102313,218,848,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,68,17494,4,4,0,3
102854,220,848,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,67,17334,5,5,0,1
103395,219,846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,67,17367,1,1,0,1
103936,220,847,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,67,17367,3,3,0,0
104477,220,845,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,67,17367,5,5,0,5
105018,221,843,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215,67,17367,4,4,0,3
105560,219,844,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,67,17368,2,2,0,1
106116,220,845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,69,17856,1,1,0,6
106656,220,842,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,67,17360,2,2,0,3
107198,222,844,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,67,17368,5,5,0,2
