24/10/2018,15:14:32,,,,,,,,,,,,,,,,,,,,,,,,,
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID,,,,,,,,,,
0,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1874,1,1,,,,,,,,,,
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
72110,310,877,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,17265,3,113,67,2
72649,302,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17331,0,179,67,2
73188,302,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17264,0,112,67,0
73731,303,842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,17425,1,17,68,0
74269,303,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17298,0,146,67,1
74808,302,879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,17264,1,112,67,0
75346,300,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17298,0,146,67,0
75884,304,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261,0,109,67,0
76423,303,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261,0,109,67,0
76960,305,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261,0,109,67,2
77513,307,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17746,0,82,69,0
78050,308,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17218,0,66,67,0
78586,311,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17221,0,69,67,0
79123,307,889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,17225,1,73,67,1
